,Муниципалитет,округ,ФИО,,
,Семеновский,7,Дунюшин Александр Вячеславович,,
,Сенной,3,Бабушкин Сергей Сергеевич,,
,Сенной,4,Ковалев Дмитрий Юрьевич,,
,Сенной,4,Нестеров Евгений Юрьевич,,
,Сестрорецк,1,Литвинов Андрей Андреевич,,
,Смольнинское,239,Смоляк Павел Евгеньевич,,
,Сосновая поляна,1,Петров Антон Викторович,,
,Сосновая поляна,1,Николаев Александр Юрьевич,,
,Сосновая поляна,1,Коршаков Николай Валерьевич,???,Выбывший после регистрации
,Сосновая поляна,1,Грушевская Анастасия Андреевна,,
,Сосновая поляна,2,Давыдов Станислав Вячеславович,,
,Сосновая поляна,2,Ханенко Александр Александрович,,
,Сосновая поляна,2,Гришина Татьяна Михайловна,,
,Стрельна,1,Куличенко Анастасия Владимировна,,
,Стрельна,1,Андреев Дмитрий Андреевич,,
,Стрельна,2,Ворошилова Лидия Ивановна,,
,Стрельна,3,Мансуров Игорь Юрьевич,,
,Стрельна,3,Лупикин Андрей Юрьевич,,
,Стрельна,4,Сметанин Дмитрий Владимирович,,
,Стрельна,5,Львов Илья Александрович,,
,Тярлево,1,Савкин Роман Александрович,,
,Урицк,1,Вялов Андрей Владимирович,,
,Урицк,2,Белинин Андрей Викторович,,
,Усть-Ижора,1,Рютин Сергей Геннадьевич,,
,Финляндский,54,Усманов Георгий Эдуардович,,
,Черная речка,1,Плотников А.И.,,
,Черная речка,2,Красноперов Л.И.,,
,Черная речка,2,Понамарева Н.И.,,
,Черная речка,2,Плотников М.И,,
,Черная речка,3,Орлов А.В.,,
,Черная речка,3,Козлов М.М.,,
,Черная речка,3,Шиманчук М.Г.,,
,Черная речка,3,Горшков Алексей Анатольевич,,
,Черная речка,4,Водолазский К.Г.,,
,Черная речка,4,Сауц А.В.,,
,Черная речка,4,Кузьмина Е.А.,,
,Чкаловское,188,Бахарев Виталий Викторович,,
,Шувалово-Озерки,2,Соколова Алла Константиновна,,
,Шувалово-Озерки,4,Морозова Марина Александровна,,
,Шушары,1,Лепешкина Людмила Жоржевна,,
,Шушары,2,Бондарь Ирина Анатольевна,,
,Шушары,2,Горбач Владимир Данилович,,
,Шушары,2,Холомеева Анна Александровна,,
,Шушары,3,Коновалов Павел Николаевич,,
,Шушары,3,Федорин Алексей Викторович,,
,Шушары,4,Иглин Сергей Викторович,,
,Шушары,4,Ахметзянов Ренат Галимович,,
,Шушары,4,Савкин Александр Викторович,???,нет в списке
,Шушары,5,Мироненко Татьяна Игоревна,,
,Шушары,5,Чабин Сергей Юрьевич,???,нет в списке
,Юго-Запад,1,Барановский Евгений Петрович,,
,Юго-Запад,1,Левашова Ольга Борисовна,,
,Юго-Запад,1,Стафеев Павел Алексеевич,,
